GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerIdx
-129240464,Descent2e,6,GAME_OVER,174,0,5,2,0
-12132643,Descent2e,5,GAME_OVER,116,0,5,3,0
-1125441341,Descent2e,6,GAME_OVER,155,0,5,4,0
-1121622036,Descent2e,5,GAME_OVER,152,0,5,5,0
-1665234851,Descent2e,5,GAME_OVER,147,0,5,6,0
-1552751862,Descent2e,4,GAME_OVER,91,0,5,7,0
411505302,Descent2e,4,GAME_OVER,79,0,5,8,0
31772146,Descent2e,6,GAME_OVER,161,0,5,9,0
-1872226856,Descent2e,5,GAME_OVER,132,0,5,10,0
217539027,Descent2e,5,GAME_OVER,125,0,5,11,0
260692750,Descent2e,5,GAME_OVER,159,0,5,12,0
-665195121,Descent2e,5,GAME_OVER,145,0,5,13,0
-295396702,Descent2e,5,GAME_OVER,130,0,5,14,0
-2048788391,Descent2e,6,GAME_OVER,190,0,5,15,0
-1330620512,Descent2e,6,GAME_OVER,170,0,5,16,0
-503642943,Descent2e,8,GAME_OVER,253,0,5,17,0
2038494905,Descent2e,4,GAME_OVER,89,0,5,18,0
2077725228,Descent2e,8,GAME_OVER,292,4,5,19,0
1270732849,Descent2e,12,GAME_OVER,440,0,5,20,0
817220418,Descent2e,4,GAME_OVER,114,0,5,21,0
1813997325,Descent2e,5,GAME_OVER,106,0,5,22,0
1515665901,Descent2e,6,GAME_OVER,150,0,5,23,0
-158184211,Descent2e,7,GAME_OVER,215,0,5,24,0
-167940666,Descent2e,5,GAME_OVER,113,0,5,25,0
731552121,Descent2e,5,GAME_OVER,137,0,5,26,0
-322514893,Descent2e,4,GAME_OVER,80,0,5,27,0
185924950,Descent2e,6,GAME_OVER,158,4,5,28,0
514226561,Descent2e,6,GAME_OVER,135,0,5,29,0
-802059280,Descent2e,8,GAME_OVER,215,0,5,30,0
72993970,Descent2e,5,GAME_OVER,130,0,5,31,0
1630215327,Descent2e,7,GAME_OVER,188,4,5,32,0
530021355,Descent2e,5,GAME_OVER,132,0,5,33,0
1014344438,Descent2e,5,GAME_OVER,144,4,5,34,0
205548954,Descent2e,5,GAME_OVER,109,0,5,35,0
865259323,Descent2e,5,GAME_OVER,165,5,5,36,0
