GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master)
1630215327,Descent2e,0,ABOUT_TO_START,0,0,5,32,"(8,6)","(2,16)","(10,3)","(9,3)","(2,15)","(1,15)","(1,16)","(3,4)","(4,3)","(4,6)","(3,3)","(3,6)","(7,2)"
530021355,Descent2e,0,ABOUT_TO_START,0,0,5,33,"(11,4)","(2,16)","(9,3)","(7,3)","(2,15)","(1,15)","(1,16)","(2,3)","(4,7)","(2,7)","(3,3)","(4,6)","(10,4)"
1014344438,Descent2e,0,ABOUT_TO_START,0,0,5,34,"(7,3)","(1,15)","(10,4)","(6,5)","(2,15)","(2,16)","(1,16)","(3,6)","(2,2)","(4,5)","(2,5)","(3,7)","(9,4)"
205548954,Descent2e,0,ABOUT_TO_START,0,0,5,35,"(7,4)","(1,16)","(10,4)","(8,2)","(2,16)","(1,15)","(2,15)","(2,5)","(5,7)","(4,7)","(3,2)","(5,6)","(6,5)"
865259323,Descent2e,0,ABOUT_TO_START,0,0,5,36,"(9,4)","(2,15)","(11,4)","(8,3)","(2,16)","(1,16)","(1,15)","(2,6)","(5,3)","(3,3)","(2,7)","(3,6)","(9,6)"
-1434625337,Descent2e,0,ABOUT_TO_START,0,0,5,37,"(7,2)","(1,16)","(9,5)","(8,3)","(1,15)","(2,16)","(2,15)","(3,5)","(5,2)","(4,7)","(5,7)","(3,6)","(9,2)"
-1328028846,Descent2e,0,ABOUT_TO_START,0,0,5,38,"(10,5)","(2,15)","(9,2)","(11,6)","(2,16)","(1,15)","(1,16)","(3,5)","(2,3)","(2,4)","(2,6)","(2,7)","(7,2)"
76544316,Descent2e,0,ABOUT_TO_START,0,0,5,39,"(7,3)","(2,15)","(10,3)","(6,2)","(1,16)","(1,15)","(2,16)","(3,7)","(4,3)","(4,2)","(3,2)","(5,7)","(11,5)"
1525708208,Descent2e,0,ABOUT_TO_START,0,0,5,40,"(8,2)","(1,15)","(10,5)","(9,6)","(1,16)","(2,16)","(2,15)","(2,7)","(3,5)","(2,2)","(5,6)","(5,3)","(9,4)"
-1759598496,Descent2e,0,ABOUT_TO_START,0,0,5,41,"(10,3)","(2,15)","(10,5)","(9,6)","(1,16)","(1,15)","(2,16)","(2,2)","(5,5)","(5,2)","(5,3)","(3,2)","(11,4)"
-1467442431,Descent2e,0,ABOUT_TO_START,0,0,5,42,"(8,3)","(1,16)","(6,2)","(9,5)","(1,15)","(2,15)","(2,16)","(5,6)","(4,7)","(5,7)","(4,2)","(5,2)","(9,2)"
-533006861,Descent2e,0,ABOUT_TO_START,0,0,5,43,"(7,3)","(1,15)","(11,5)","(6,5)","(2,15)","(1,16)","(2,16)","(3,3)","(2,6)","(5,3)","(2,4)","(4,5)","(9,3)"
-1864019792,Descent2e,0,ABOUT_TO_START,0,0,5,44,"(9,4)","(1,15)","(6,4)","(11,4)","(1,16)","(2,15)","(2,16)","(4,7)","(2,7)","(5,2)","(2,6)","(4,6)","(11,6)"
1708750870,Descent2e,0,ABOUT_TO_START,0,0,5,45,"(6,3)","(2,16)","(9,5)","(8,6)","(2,15)","(1,15)","(1,16)","(4,5)","(3,6)","(3,2)","(2,4)","(3,3)","(11,5)"
-676739731,Descent2e,0,ABOUT_TO_START,0,0,5,46,"(9,4)","(2,16)","(9,6)","(7,2)","(1,15)","(1,16)","(2,15)","(3,7)","(4,2)","(2,4)","(5,3)","(4,6)","(11,6)"
1987738689,Descent2e,0,ABOUT_TO_START,0,0,5,47,"(9,5)","(1,16)","(6,5)","(6,2)","(2,16)","(2,15)","(1,15)","(3,5)","(4,3)","(3,7)","(2,7)","(5,7)","(8,2)"
