GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,WinnerType
-129240464,Descent2e,6,GAME_OVER,174,0,5,2,overlord
-12132643,Descent2e,5,GAME_OVER,116,0,5,3,overlord
-1125441341,Descent2e,6,GAME_OVER,155,0,5,4,overlord
-1121622036,Descent2e,5,GAME_OVER,152,0,5,5,overlord
-1665234851,Descent2e,5,GAME_OVER,147,0,5,6,overlord
-1552751862,Descent2e,4,GAME_OVER,91,0,5,7,overlord
411505302,Descent2e,4,GAME_OVER,79,0,5,8,overlord
31772146,Descent2e,6,GAME_OVER,161,0,5,9,overlord
-1872226856,Descent2e,5,GAME_OVER,132,0,5,10,overlord
217539027,Descent2e,5,GAME_OVER,125,0,5,11,overlord
260692750,Descent2e,5,GAME_OVER,159,0,5,12,overlord
-665195121,Descent2e,5,GAME_OVER,145,0,5,13,overlord
-295396702,Descent2e,5,GAME_OVER,130,0,5,14,overlord
-2048788391,Descent2e,6,GAME_OVER,190,0,5,15,overlord
-1330620512,Descent2e,6,GAME_OVER,170,0,5,16,overlord
-503642943,Descent2e,8,GAME_OVER,253,0,5,17,overlord
2038494905,Descent2e,4,GAME_OVER,89,0,5,18,overlord
2077725228,Descent2e,8,GAME_OVER,292,4,5,19,overlord
1270732849,Descent2e,12,GAME_OVER,440,0,5,20,overlord
817220418,Descent2e,4,GAME_OVER,114,0,5,21,overlord
1813997325,Descent2e,5,GAME_OVER,106,0,5,22,overlord
1515665901,Descent2e,6,GAME_OVER,150,0,5,23,overlord
-158184211,Descent2e,7,GAME_OVER,215,0,5,24,overlord
-167940666,Descent2e,5,GAME_OVER,113,0,5,25,overlord
731552121,Descent2e,5,GAME_OVER,137,0,5,26,overlord
-322514893,Descent2e,4,GAME_OVER,80,0,5,27,overlord
185924950,Descent2e,6,GAME_OVER,158,4,5,28,overlord
514226561,Descent2e,6,GAME_OVER,135,0,5,29,overlord
-802059280,Descent2e,8,GAME_OVER,215,0,5,30,overlord
72993970,Descent2e,5,GAME_OVER,130,0,5,31,overlord
1630215327,Descent2e,7,GAME_OVER,188,4,5,32,overlord
530021355,Descent2e,5,GAME_OVER,132,0,5,33,overlord
1014344438,Descent2e,5,GAME_OVER,144,4,5,34,overlord
205548954,Descent2e,5,GAME_OVER,109,0,5,35,overlord
865259323,Descent2e,5,GAME_OVER,165,5,5,36,overlord
-1434625337,Descent2e,6,GAME_OVER,171,0,5,37,overlord
-1328028846,Descent2e,5,GAME_OVER,154,0,5,38,overlord
76544316,Descent2e,5,GAME_OVER,121,0,5,39,overlord
1525708208,Descent2e,8,GAME_OVER,296,0,5,40,overlord
-1759598496,Descent2e,8,GAME_OVER,248,0,5,41,overlord
-1467442431,Descent2e,5,GAME_OVER,118,0,5,42,overlord
-533006861,Descent2e,5,GAME_OVER,125,0,5,43,overlord
-1864019792,Descent2e,5,GAME_OVER,117,0,5,44,overlord
1708750870,Descent2e,10,GAME_OVER,237,4,5,45,overlord
-676739731,Descent2e,5,GAME_OVER,119,0,5,46,overlord
1987738689,Descent2e,5,GAME_OVER,126,0,5,47,overlord
-891039127,Descent2e,4,GAME_OVER,102,4,5,48,overlord
2123069208,Descent2e,4,GAME_OVER,92,0,5,49,overlord
1192330975,Descent2e,5,GAME_OVER,107,0,5,50,overlord
2054686520,Descent2e,6,GAME_OVER,160,0,5,51,overlord
317141275,Descent2e,4,GAME_OVER,78,0,5,52,overlord
-589542030,Descent2e,5,GAME_OVER,132,0,5,53,overlord
1791957809,Descent2e,5,GAME_OVER,105,0,5,54,overlord
1058629402,Descent2e,7,GAME_OVER,209,0,5,55,overlord
142151403,Descent2e,5,GAME_OVER,128,5,5,56,overlord
-1545696438,Descent2e,5,GAME_OVER,192,0,5,57,overlord
1166734279,Descent2e,5,GAME_OVER,122,0,5,58,overlord
1455864387,Descent2e,8,GAME_OVER,252,0,5,59,overlord
-272020745,Descent2e,5,GAME_OVER,119,0,5,60,overlord
125544037,Descent2e,7,GAME_OVER,185,0,5,61,overlord
-17416001,Descent2e,6,GAME_OVER,145,0,5,62,overlord
1780256839,Descent2e,5,GAME_OVER,123,0,5,63,overlord
-1001828439,Descent2e,5,GAME_OVER,114,0,5,64,overlord
-832320528,Descent2e,5,GAME_OVER,123,0,5,65,overlord
101538150,Descent2e,5,GAME_OVER,131,0,5,66,overlord
1526373207,Descent2e,6,GAME_OVER,176,4,5,67,overlord
-1719831984,Descent2e,5,GAME_OVER,125,0,5,68,overlord
461539965,Descent2e,4,GAME_OVER,87,1,5,69,overlord
-600590354,Descent2e,6,GAME_OVER,134,0,5,70,overlord
92378088,Descent2e,6,GAME_OVER,189,0,5,71,overlord
-187942932,Descent2e,5,GAME_OVER,102,0,5,72,overlord
780507211,Descent2e,6,GAME_OVER,175,0,5,73,overlord
-479757219,Descent2e,5,GAME_OVER,116,0,5,74,overlord
-1533463915,Descent2e,5,GAME_OVER,131,4,5,75,overlord
255628104,Descent2e,5,GAME_OVER,116,0,5,76,overlord
-535610934,Descent2e,5,GAME_OVER,138,0,5,77,overlord
456501961,Descent2e,6,GAME_OVER,167,0,5,78,overlord
633431108,Descent2e,5,GAME_OVER,113,0,5,79,overlord
-1013878706,Descent2e,5,GAME_OVER,127,0,5,80,overlord
203557981,Descent2e,5,GAME_OVER,119,0,5,81,overlord
754424002,Descent2e,4,GAME_OVER,97,0,5,82,overlord
243276936,Descent2e,6,GAME_OVER,201,0,5,83,overlord
-1790828394,Descent2e,6,GAME_OVER,183,4,5,84,overlord
733755745,Descent2e,10,GAME_OVER,252,0,5,85,overlord
-1015726578,Descent2e,6,GAME_OVER,157,0,5,86,overlord
519006790,Descent2e,5,GAME_OVER,130,0,5,87,overlord
-860586689,Descent2e,7,GAME_OVER,211,0,5,88,overlord
-1684777619,Descent2e,6,GAME_OVER,190,4,5,89,overlord
596597915,Descent2e,6,GAME_OVER,170,0,5,90,overlord
-1627016550,Descent2e,4,GAME_OVER,73,0,5,91,overlord
1175900674,Descent2e,5,GAME_OVER,152,0,5,92,overlord
-2039320613,Descent2e,7,GAME_OVER,221,0,5,93,overlord
-1102072911,Descent2e,6,GAME_OVER,172,0,5,94,overlord
1768699387,Descent2e,7,GAME_OVER,175,0,5,95,overlord
-1081809532,Descent2e,6,GAME_OVER,161,0,5,96,overlord
-169601401,Descent2e,5,GAME_OVER,134,0,5,97,overlord
-538135962,Descent2e,7,GAME_OVER,174,0,5,98,overlord
-581549156,Descent2e,5,GAME_OVER,130,0,5,99,overlord
1107604202,Descent2e,5,GAME_OVER,126,0,5,100,overlord
16929238,Descent2e,5,GAME_OVER,117,0,5,101,overlord
