GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,WinnerType
319406125,Descent2e,5,GAME_OVER,90,0,3,2,overlord
575404384,Descent2e,6,GAME_OVER,88,0,3,3,overlord
-1559433249,Descent2e,7,GAME_OVER,142,0,3,4,overlord
-438098715,Descent2e,5,GAME_OVER,80,0,3,5,overlord
-1161313317,Descent2e,11,GAME_OVER,192,0,3,6,overlord
511034640,Descent2e,5,GAME_OVER,108,0,3,7,overlord
343994104,Descent2e,6,GAME_OVER,86,0,3,8,overlord
-1858855300,Descent2e,20,GAME_OVER,250,0,3,9,timeout
931210764,Descent2e,4,GAME_OVER,59,0,3,10,overlord
452628520,Descent2e,5,GAME_OVER,128,2,3,11,overlord
-1114019099,Descent2e,5,GAME_OVER,78,0,3,12,overlord
755477450,Descent2e,5,GAME_OVER,81,0,3,13,overlord
-423533759,Descent2e,7,GAME_OVER,125,0,3,14,overlord
185304058,Descent2e,6,GAME_OVER,149,0,3,15,overlord
-60098171,Descent2e,5,GAME_OVER,83,0,3,16,overlord
-959946565,Descent2e,5,GAME_OVER,74,0,3,17,overlord
292692223,Descent2e,6,GAME_OVER,104,0,3,18,overlord
1899368996,Descent2e,20,GAME_OVER,289,0,3,19,timeout
-992268812,Descent2e,4,GAME_OVER,90,0,3,20,overlord
-1438281155,Descent2e,5,GAME_OVER,85,0,3,21,overlord
1500598738,Descent2e,5,GAME_OVER,101,2,3,22,overlord
-1738743222,Descent2e,5,GAME_OVER,96,0,3,23,overlord
-1038252494,Descent2e,6,GAME_OVER,101,0,3,24,overlord
748018966,Descent2e,20,GAME_OVER,254,0,3,25,timeout
-996731500,Descent2e,5,GAME_OVER,90,0,3,26,overlord
1130718981,Descent2e,4,GAME_OVER,83,0,3,27,overlord
6229762,Descent2e,5,GAME_OVER,74,0,3,28,overlord
-308623887,Descent2e,4,GAME_OVER,74,0,3,29,overlord
-838673937,Descent2e,20,GAME_OVER,242,0,3,30,timeout
-940224998,Descent2e,5,GAME_OVER,86,1,3,31,overlord
170779156,Descent2e,6,GAME_OVER,93,0,3,32,overlord
-644495687,Descent2e,5,GAME_OVER,79,0,3,33,overlord
503021343,Descent2e,5,GAME_OVER,103,0,3,34,overlord
-1768275986,Descent2e,4,GAME_OVER,99,2,3,35,overlord
-1369972123,Descent2e,4,GAME_OVER,61,0,3,36,overlord
-361734871,Descent2e,4,GAME_OVER,89,0,3,37,overlord
1529251068,Descent2e,20,GAME_OVER,269,0,3,38,timeout
-647388615,Descent2e,20,GAME_OVER,270,0,3,39,timeout
-1462871322,Descent2e,5,GAME_OVER,107,0,3,40,overlord
140373667,Descent2e,5,GAME_OVER,94,0,3,41,overlord
563512375,Descent2e,6,GAME_OVER,89,0,3,42,overlord
1758286330,Descent2e,5,GAME_OVER,99,1,3,43,overlord
-774741157,Descent2e,6,GAME_OVER,129,0,3,44,overlord
-1130916543,Descent2e,6,GAME_OVER,90,0,3,45,overlord
1030846435,Descent2e,4,GAME_OVER,66,0,3,46,overlord
1745717418,Descent2e,5,GAME_OVER,86,0,3,47,overlord
210251654,Descent2e,19,GAME_OVER,393,0,3,48,overlord
1281305129,Descent2e,20,GAME_OVER,316,0,3,49,timeout
1140038455,Descent2e,7,GAME_OVER,113,0,3,50,overlord
1735876788,Descent2e,4,GAME_OVER,74,0,3,51,overlord
525184132,Descent2e,5,GAME_OVER,130,0,3,52,overlord
2004361509,Descent2e,5,GAME_OVER,98,1,3,53,overlord
110878610,Descent2e,7,GAME_OVER,124,2,3,54,overlord
-1543328477,Descent2e,20,GAME_OVER,268,0,3,55,timeout
-1089269642,Descent2e,5,GAME_OVER,87,0,3,56,overlord
-2129000077,Descent2e,20,GAME_OVER,303,0,3,57,timeout
-577028418,Descent2e,5,GAME_OVER,86,2,3,58,overlord
-1957619555,Descent2e,20,GAME_OVER,279,0,3,59,timeout
431636578,Descent2e,5,GAME_OVER,84,0,3,60,overlord
1984546776,Descent2e,8,GAME_OVER,141,0,3,61,overlord
-1469026952,Descent2e,5,GAME_OVER,96,0,3,62,overlord
-368328817,Descent2e,7,GAME_OVER,111,0,3,63,overlord
-328454052,Descent2e,6,GAME_OVER,125,2,3,64,overlord
1036246523,Descent2e,5,GAME_OVER,88,0,3,65,overlord
-1439845840,Descent2e,8,GAME_OVER,149,2,3,66,overlord
1766046121,Descent2e,9,GAME_OVER,141,0,3,67,overlord
-266231328,Descent2e,5,GAME_OVER,102,0,3,68,overlord
-445426961,Descent2e,4,GAME_OVER,72,0,3,69,overlord
444523532,Descent2e,9,GAME_OVER,162,0,3,70,overlord
1087194764,Descent2e,7,GAME_OVER,134,0,3,71,overlord
42919042,Descent2e,20,GAME_OVER,256,0,3,72,timeout
-1391062767,Descent2e,5,GAME_OVER,95,0,3,73,overlord
-1318988238,Descent2e,20,GAME_OVER,321,0,3,74,timeout
1070895554,Descent2e,13,GAME_OVER,207,0,3,75,overlord
-1300726584,Descent2e,5,GAME_OVER,95,3,3,76,overlord
1718144275,Descent2e,20,GAME_OVER,233,0,3,77,timeout
1776530246,Descent2e,5,GAME_OVER,114,0,3,78,overlord
-1385807378,Descent2e,4,GAME_OVER,69,1,3,79,overlord
-1502554794,Descent2e,5,GAME_OVER,93,0,3,80,overlord
641845849,Descent2e,7,GAME_OVER,104,0,3,81,overlord
-866513615,Descent2e,6,GAME_OVER,98,2,3,82,overlord
-1483389116,Descent2e,20,GAME_OVER,241,0,3,83,timeout
39673420,Descent2e,20,GAME_OVER,238,0,3,84,timeout
-1063055229,Descent2e,20,GAME_OVER,251,0,3,85,timeout
-625564380,Descent2e,4,GAME_OVER,82,2,3,86,overlord
-460677830,Descent2e,6,GAME_OVER,99,0,3,87,overlord
1831059179,Descent2e,6,GAME_OVER,101,0,3,88,overlord
-918428086,Descent2e,6,GAME_OVER,86,0,3,89,overlord
369176540,Descent2e,5,GAME_OVER,90,0,3,90,overlord
1415771007,Descent2e,20,GAME_OVER,282,0,3,91,timeout
2059795838,Descent2e,4,GAME_OVER,82,0,3,92,overlord
-1953847921,Descent2e,5,GAME_OVER,78,0,3,93,overlord
1660066343,Descent2e,5,GAME_OVER,98,1,3,94,overlord
-1735822804,Descent2e,4,GAME_OVER,87,2,3,95,overlord
37667191,Descent2e,4,GAME_OVER,80,0,3,96,overlord
-1375388495,Descent2e,7,GAME_OVER,111,0,3,97,overlord
-111046234,Descent2e,6,GAME_OVER,139,1,3,98,overlord
-2072113863,Descent2e,4,GAME_OVER,83,0,3,99,overlord
-1478683689,Descent2e,20,GAME_OVER,272,0,3,100,timeout
-1636830946,Descent2e,5,GAME_OVER,76,0,3,101,overlord
