GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerName-0,Player-1,Player-0,Player-2,PlayerName-1,PlayerName-2
319406125,Descent2e,5,GAME_OVER,90,0,3,2,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
575404384,Descent2e,6,GAME_OVER,88,0,3,3,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1559433249,Descent2e,7,GAME_OVER,142,0,3,4,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-438098715,Descent2e,5,GAME_OVER,80,0,3,5,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1161313317,Descent2e,11,GAME_OVER,192,0,3,6,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
511034640,Descent2e,5,GAME_OVER,108,0,3,7,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
343994104,Descent2e,6,GAME_OVER,86,0,3,8,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1858855300,Descent2e,20,GAME_OVER,250,0,3,9,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
931210764,Descent2e,4,GAME_OVER,59,0,3,10,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
452628520,Descent2e,5,GAME_OVER,128,2,3,11,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1114019099,Descent2e,5,GAME_OVER,78,0,3,12,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
755477450,Descent2e,5,GAME_OVER,81,0,3,13,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-423533759,Descent2e,7,GAME_OVER,125,0,3,14,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
185304058,Descent2e,6,GAME_OVER,149,0,3,15,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-60098171,Descent2e,5,GAME_OVER,83,0,3,16,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-959946565,Descent2e,5,GAME_OVER,74,0,3,17,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
292692223,Descent2e,6,GAME_OVER,104,0,3,18,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
1899368996,Descent2e,20,GAME_OVER,289,0,3,19,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-992268812,Descent2e,4,GAME_OVER,90,0,3,20,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1438281155,Descent2e,5,GAME_OVER,85,0,3,21,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
1500598738,Descent2e,5,GAME_OVER,101,2,3,22,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1738743222,Descent2e,5,GAME_OVER,96,0,3,23,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1038252494,Descent2e,6,GAME_OVER,101,0,3,24,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
748018966,Descent2e,20,GAME_OVER,254,0,3,25,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-996731500,Descent2e,5,GAME_OVER,90,0,3,26,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
1130718981,Descent2e,4,GAME_OVER,83,0,3,27,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
6229762,Descent2e,5,GAME_OVER,74,0,3,28,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-308623887,Descent2e,4,GAME_OVER,74,0,3,29,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-838673937,Descent2e,20,GAME_OVER,242,0,3,30,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-940224998,Descent2e,5,GAME_OVER,86,1,3,31,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
170779156,Descent2e,6,GAME_OVER,93,0,3,32,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-644495687,Descent2e,5,GAME_OVER,79,0,3,33,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
503021343,Descent2e,5,GAME_OVER,103,0,3,34,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1768275986,Descent2e,4,GAME_OVER,99,2,3,35,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1369972123,Descent2e,4,GAME_OVER,61,0,3,36,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-361734871,Descent2e,4,GAME_OVER,89,0,3,37,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
1529251068,Descent2e,20,GAME_OVER,269,0,3,38,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-647388615,Descent2e,20,GAME_OVER,270,0,3,39,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
-1462871322,Descent2e,5,GAME_OVER,107,0,3,40,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
140373667,Descent2e,5,GAME_OVER,94,0,3,41,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
563512375,Descent2e,6,GAME_OVER,89,0,3,42,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
1758286330,Descent2e,5,GAME_OVER,99,1,3,43,BasicMCTS,0.0,0.0,0.0,BasicMCTS,BasicMCTS
