GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Player-1 rank,PlayerName-0,Player-1,Player-0,Player-0 rank,Player-2,PlayerName-1,Player-2 rank,PlayerName-2
-1483389116,Descent2e,20,GAME_OVER,241,0,3,83,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS
39673420,Descent2e,20,GAME_OVER,238,0,3,84,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS
-1063055229,Descent2e,20,GAME_OVER,251,0,3,85,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS
-625564380,Descent2e,4,GAME_OVER,82,2,3,86,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS
-460677830,Descent2e,6,GAME_OVER,99,0,3,87,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS
1831059179,Descent2e,6,GAME_OVER,101,0,3,88,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS
-918428086,Descent2e,6,GAME_OVER,86,0,3,89,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS
369176540,Descent2e,5,GAME_OVER,90,0,3,90,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS
1415771007,Descent2e,20,GAME_OVER,282,0,3,91,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS
2059795838,Descent2e,4,GAME_OVER,82,0,3,92,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS
-1953847921,Descent2e,5,GAME_OVER,78,0,3,93,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS
1660066343,Descent2e,5,GAME_OVER,98,1,3,94,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS
-1735822804,Descent2e,4,GAME_OVER,87,2,3,95,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS
37667191,Descent2e,4,GAME_OVER,80,0,3,96,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS
-1375388495,Descent2e,7,GAME_OVER,111,0,3,97,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS
-111046234,Descent2e,6,GAME_OVER,139,1,3,98,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS
-2072113863,Descent2e,4,GAME_OVER,83,0,3,99,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS
-1478683689,Descent2e,20,GAME_OVER,272,0,3,100,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS
-1636830946,Descent2e,5,GAME_OVER,76,0,3,101,1,BasicMCTS,1,1,1,1,BasicMCTS,1,BasicMCTS
