GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Barghest Minion 1,Hero 1,Barghest Minion 3,Barghest Minion 2,Hero 3,Hero 2,Hero 4,Goblin Minion 3,Goblin Minion 4,Goblin Minion 1,Goblin Minion 2,Goblin Master,Barghest Master
510837275,Descent2e,0,ABOUT_TO_START,0,0,5,2,"(11,6)","(1,16)","(11,4)","(6,2)","(2,16)","(2,15)","(1,15)","(4,2)","(5,7)","(2,2)","(5,5)","(3,2)","(7,4)"
510837275,Descent2e,0,ROUND_OVER,24,13,5,2,"(9,4)","(1,16)","(7,3)","(6,2)","(2,16)","(2,15)","(1,15)","(3,7)","(5,7)","(7,10)","(5,5)","(4,6)","(7,4)"
510837275,Descent2e,1,ROUND_OVER,69,13,5,2,"(8,7)","(1,16)","(7,3)","(8,2)","(3,17)","(2,15)","(1,15)","(3,7)","(5,7)","(8,13)","(4,8)","(4,6)","(7,4)"
510837275,Descent2e,2,ROUND_OVER,100,13,5,2,"(8,7)","(1,16)","(7,3)","(8,2)","(3,17)","(2,15)","(1,15)","(3,7)","(5,7)","(5,17)","(4,8)","(4,6)","(7,4)"
510837275,Descent2e,3,ROUND_OVER,119,13,5,2,"(8,7)","(1,16)","(7,3)","(8,2)","(3,17)","(2,15)","(1,15)","(3,11)","(5,7)","(5,17)","(4,8)","(4,6)","(7,4)"
510837275,Descent2e,4,ROUND_OVER,133,13,5,2,"(8,7)","(1,16)","(7,3)","(8,2)","(3,17)","(2,15)","(1,15)","(3,11)","(5,7)","(5,17)","(4,8)","(4,6)","(7,4)"
510837275,Descent2e,5,ROUND_OVER,165,13,5,2,"(8,7)","(1,16)","(7,3)","(8,2)","(3,17)","(2,15)","(4,16)","(3,11)","(5,7)","(5,17)","(4,8)","(4,6)","(7,4)"
510837275,Descent2e,6,GAME_OVER,166,0,5,2,"(8,7)","(1,16)","(7,3)","(8,2)","(3,17)","(2,15)","(4,16)","(3,11)","(5,7)","(5,17)","(4,8)","(4,6)","(7,4)"
-1489172791,Descent2e,0,ABOUT_TO_START,0,0,5,3,"(7,3)","(2,16)","(6,3)","(8,6)","(2,15)","(1,15)","(1,16)","(5,3)","(3,4)","(4,4)","(5,4)","(3,3)","(10,4)"
-1489172791,Descent2e,0,ROUND_OVER,27,13,5,3,"(7,3)","(2,16)","(6,3)","(8,6)","(2,15)","(1,15)","(1,16)","(4,7)","(3,4)","(2,7)","(8,13)","(3,8)","(10,4)"
