GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Hero 1 HP,Goblin Master HP,Overlord Fatigue,Goblin Minion 1 HP,Goblin Minion 2 HP,Hero 3 HP,Hero 4 HP,Goblin Minion 3 HP,Goblin Minion 4 HP,Hero 2 HP,Barghest Minion 2 HP,Barghest Minion 1 HP,Barghest Minion 3 HP,Barghest Master HP
1774101494,Descent2e,7,GAME_OVER,152,0,4,57,14,4,7,2,2,7,,2,,8,6,6,,8
783867599,Descent2e,5,GAME_OVER,98,0,4,58,8,4,7,2,2,12,,2,,8,6,6,,8
-1640918021,Descent2e,5,GAME_OVER,119,0,4,59,12,4,7,2,2,8,,2,,8,6,6,,8
1678493404,Descent2e,5,GAME_OVER,109,0,4,60,8,4,7,2,2,12,,2,,10,6,6,,8
1415472902,Descent2e,5,GAME_OVER,133,0,4,61,10,4,7,2,2,12,,2,,8,6,6,,8
1703327422,Descent2e,4,GAME_OVER,83,0,4,62,8,4,7,2,2,10,,2,,14,6,6,,8
685957540,Descent2e,6,GAME_OVER,162,3,4,63,8,1,7,2,2,3,,2,,12,6,6,,8
-1425051607,Descent2e,5,GAME_OVER,98,0,4,64,12,4,7,2,2,12,,2,,8,6,6,,8
-1689921933,Descent2e,6,GAME_OVER,127,0,4,65,8,4,7,2,2,10,,2,,10,6,6,,8
1606762606,Descent2e,20,GAME_OVER,386,0,4,66,2,4,3,2,2,12,,2,,8,6,6,,8
-225376959,Descent2e,6,GAME_OVER,140,3,4,67,10,1,7,2,2,12,,2,,5,6,6,,8
1702859030,Descent2e,5,GAME_OVER,127,4,4,68,12,2,7,2,2,8,,2,,14,6,6,,8
-588199003,Descent2e,5,GAME_OVER,98,0,4,69,12,4,7,2,2,12,,2,,8,6,6,,8
-1187448657,Descent2e,5,GAME_OVER,114,0,4,70,4,4,7,2,2,12,,2,,10,6,6,,8
1908777951,Descent2e,6,GAME_OVER,147,0,4,71,8,4,7,2,2,10,,2,,12,6,6,,8
-19063564,Descent2e,7,GAME_OVER,177,3,4,72,8,4,7,2,2,10,,2,,14,6,6,,8
-464392183,Descent2e,6,GAME_OVER,106,0,4,73,10,4,7,2,2,8,,2,,8,6,6,,8
-919846969,Descent2e,8,GAME_OVER,169,3,4,74,8,4,7,2,2,14,,2,,12,6,6,,8
-2107764011,Descent2e,4,GAME_OVER,73,0,4,75,10,4,7,2,2,14,,2,,10,6,6,,8
1049473689,Descent2e,4,GAME_OVER,95,0,4,76,8,4,7,2,2,12,,2,,8,6,6,,8
1439313004,Descent2e,7,GAME_OVER,140,0,4,77,14,4,7,2,2,8,,2,,8,6,6,,8
255801388,Descent2e,4,GAME_OVER,86,0,4,78,8,4,7,2,2,10,,2,,12,6,6,,8
