GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Player-1 rank,PlayerName-0,Player-1,Player-0,Player-0 rank,Player-3,Player-3 rank,Player-2,PlayerName-1,Player-2 rank,PlayerName-2,PlayerName-3
700752511,Descent2e,5,GAME_OVER,92,0,4,42,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-1506964002,Descent2e,4,GAME_OVER,81,3,4,43,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
1627911882,Descent2e,7,GAME_OVER,144,3,4,44,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
1722747047,Descent2e,4,GAME_OVER,84,1,4,45,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-933116486,Descent2e,4,GAME_OVER,85,0,4,46,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-968323800,Descent2e,4,GAME_OVER,88,0,4,47,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
83430792,Descent2e,4,GAME_OVER,84,0,4,48,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
379763279,Descent2e,5,GAME_OVER,112,0,4,49,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-189775047,Descent2e,5,GAME_OVER,115,0,4,50,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-1670167081,Descent2e,5,GAME_OVER,125,3,4,51,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-1673858813,Descent2e,5,GAME_OVER,104,0,4,52,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-620912172,Descent2e,4,GAME_OVER,72,0,4,53,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-1157110601,Descent2e,5,GAME_OVER,112,0,4,54,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
469411154,Descent2e,4,GAME_OVER,78,0,4,55,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-1034279610,Descent2e,6,GAME_OVER,142,0,4,56,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
1774101494,Descent2e,7,GAME_OVER,152,0,4,57,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
783867599,Descent2e,5,GAME_OVER,98,0,4,58,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-1640918021,Descent2e,5,GAME_OVER,119,0,4,59,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
1678493404,Descent2e,5,GAME_OVER,109,0,4,60,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
1415472902,Descent2e,5,GAME_OVER,133,0,4,61,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
1703327422,Descent2e,4,GAME_OVER,83,0,4,62,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
685957540,Descent2e,6,GAME_OVER,162,3,4,63,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-1425051607,Descent2e,5,GAME_OVER,98,0,4,64,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-1689921933,Descent2e,6,GAME_OVER,127,0,4,65,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
1606762606,Descent2e,20,GAME_OVER,386,0,4,66,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-225376959,Descent2e,6,GAME_OVER,140,3,4,67,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
1702859030,Descent2e,5,GAME_OVER,127,4,4,68,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-588199003,Descent2e,5,GAME_OVER,98,0,4,69,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-1187448657,Descent2e,5,GAME_OVER,114,0,4,70,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
1908777951,Descent2e,6,GAME_OVER,147,0,4,71,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-19063564,Descent2e,7,GAME_OVER,177,3,4,72,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-464392183,Descent2e,6,GAME_OVER,106,0,4,73,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-919846969,Descent2e,8,GAME_OVER,169,3,4,74,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-2107764011,Descent2e,4,GAME_OVER,73,0,4,75,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
1049473689,Descent2e,4,GAME_OVER,95,0,4,76,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
1439313004,Descent2e,7,GAME_OVER,140,0,4,77,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
255801388,Descent2e,4,GAME_OVER,86,0,4,78,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-790542024,Descent2e,5,GAME_OVER,95,1,4,79,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
1632740047,Descent2e,6,GAME_OVER,135,0,4,80,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
743913869,Descent2e,4,GAME_OVER,78,0,4,81,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-158315121,Descent2e,5,GAME_OVER,118,0,4,82,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
1270805651,Descent2e,4,GAME_OVER,69,0,4,83,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
732526831,Descent2e,5,GAME_OVER,96,3,4,84,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-155048468,Descent2e,5,GAME_OVER,86,0,4,85,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-432560100,Descent2e,5,GAME_OVER,132,0,4,86,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
1277076695,Descent2e,7,GAME_OVER,139,0,4,87,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-2005341752,Descent2e,5,GAME_OVER,108,0,4,88,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-1211112216,Descent2e,6,GAME_OVER,121,0,4,89,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-1796206592,Descent2e,6,GAME_OVER,132,0,4,90,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
652297104,Descent2e,6,GAME_OVER,135,0,4,91,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-1817228092,Descent2e,5,GAME_OVER,95,0,4,92,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-1308411128,Descent2e,7,GAME_OVER,137,0,4,93,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-1167325909,Descent2e,5,GAME_OVER,114,0,4,94,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
31869529,Descent2e,4,GAME_OVER,109,0,4,95,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
1654391629,Descent2e,4,GAME_OVER,90,0,4,96,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-1868522600,Descent2e,5,GAME_OVER,103,0,4,97,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-1686237354,Descent2e,7,GAME_OVER,139,0,4,98,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-188126062,Descent2e,6,GAME_OVER,126,0,4,99,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
-451448212,Descent2e,6,GAME_OVER,119,3,4,100,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
1905904503,Descent2e,4,GAME_OVER,82,0,4,101,1,BasicMCTS,1,1,1,1,1,1,BasicMCTS,1,BasicMCTS,BasicMCTS
