GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerName-0,Player-1,Player-0,Player-3,Player-2,PlayerName-1,PlayerName-2,PlayerName-3
-84488275,Descent2e,5,GAME_OVER,100,0,4,2,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS
-611313646,Descent2e,5,GAME_OVER,85,0,4,3,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS
1731327576,Descent2e,6,GAME_OVER,141,0,4,4,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS
-1030049306,Descent2e,4,GAME_OVER,87,0,4,5,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS
-332434317,Descent2e,4,GAME_OVER,92,3,4,6,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS
204336152,Descent2e,4,GAME_OVER,71,0,4,7,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS
114044284,Descent2e,5,GAME_OVER,107,0,4,8,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS
1126255906,Descent2e,5,GAME_OVER,115,0,4,9,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS
-407615820,Descent2e,5,GAME_OVER,104,0,4,10,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS
270862216,Descent2e,5,GAME_OVER,90,0,4,11,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS
-1291781659,Descent2e,5,GAME_OVER,97,0,4,12,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS
-1474588018,Descent2e,5,GAME_OVER,100,0,4,13,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS
697030021,Descent2e,6,GAME_OVER,157,0,4,14,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS
956090341,Descent2e,5,GAME_OVER,111,0,4,15,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS
1498501206,Descent2e,5,GAME_OVER,114,0,4,16,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS
-164530892,Descent2e,5,GAME_OVER,101,0,4,17,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS
-792746254,Descent2e,5,GAME_OVER,99,0,4,18,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS
1589492708,Descent2e,7,GAME_OVER,141,0,4,19,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS
1261642724,Descent2e,5,GAME_OVER,102,0,4,20,BasicMCTS,0.0,0.0,0.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS
