GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,LeaderGap,PlayerName-0,Player-1,Average,Player-0,Player-2,PlayerName-1,PlayerName-2
-641580326,Descent2e,0,ACTION_CHOSEN,0,0,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,1,0,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,2,0,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,3,0,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,4,0,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,5,0,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,6,0,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,7,0,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,8,0,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,9,0,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,10,0,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,11,0,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,12,0,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,13,0,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,14,0,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,15,0,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,16,1,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,17,1,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,18,1,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,19,1,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,20,1,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,21,1,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,22,1,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,23,1,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,24,1,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,25,1,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,26,1,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,27,1,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,28,1,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,29,2,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,30,2,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,31,2,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,32,2,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,33,2,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,34,2,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,35,2,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,36,2,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,37,2,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
-641580326,Descent2e,0,ACTION_CHOSEN,38,3,3,2,0.0,OSLA,0.0,0.0,0.0,0.0,OSLA,OSLA
