GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerName-0,Player-1,Player-0,PlayerName-1
-428145664,Descent2e,20,GAME_OVER,234,0,2,2,BasicMCTS,0.0,0.0,BasicMCTS
301571211,Descent2e,6,GAME_OVER,101,0,2,3,BasicMCTS,0.0,0.0,BasicMCTS
-1349591403,Descent2e,20,GAME_OVER,318,0,2,4,BasicMCTS,0.0,0.0,BasicMCTS
187172682,Descent2e,7,GAME_OVER,153,0,2,5,BasicMCTS,0.0,0.0,BasicMCTS
204511687,Descent2e,4,GAME_OVER,102,0,2,6,BasicMCTS,0.0,0.0,BasicMCTS
-1704375242,Descent2e,5,GAME_OVER,94,0,2,7,BasicMCTS,0.0,0.0,BasicMCTS
-1536407514,Descent2e,20,GAME_OVER,304,0,2,8,BasicMCTS,0.0,0.0,BasicMCTS
827361904,Descent2e,7,GAME_OVER,143,3,2,9,BasicMCTS,0.0,0.0,BasicMCTS
847152417,Descent2e,12,GAME_OVER,189,0,2,10,BasicMCTS,0.0,0.0,BasicMCTS
1142908333,Descent2e,5,GAME_OVER,98,0,2,11,BasicMCTS,0.0,0.0,BasicMCTS
-1064674997,Descent2e,4,GAME_OVER,111,0,2,12,BasicMCTS,0.0,0.0,BasicMCTS
223436599,Descent2e,7,GAME_OVER,103,0,2,13,BasicMCTS,0.0,0.0,BasicMCTS
-312833850,Descent2e,5,GAME_OVER,121,1,2,14,BasicMCTS,0.0,0.0,BasicMCTS
113837294,Descent2e,20,GAME_OVER,249,0,2,15,BasicMCTS,0.0,0.0,BasicMCTS
-2024361174,Descent2e,20,GAME_OVER,256,0,2,16,BasicMCTS,0.0,0.0,BasicMCTS
-1650823777,Descent2e,5,GAME_OVER,131,0,2,17,BasicMCTS,0.0,0.0,BasicMCTS
1883815596,Descent2e,20,GAME_OVER,283,0,2,18,BasicMCTS,0.0,0.0,BasicMCTS
-650133693,Descent2e,5,GAME_OVER,129,0,2,19,BasicMCTS,0.0,0.0,BasicMCTS
669058127,Descent2e,5,GAME_OVER,91,0,2,20,BasicMCTS,0.0,0.0,BasicMCTS
344875733,Descent2e,20,GAME_OVER,279,0,2,21,BasicMCTS,0.0,0.0,BasicMCTS
727886180,Descent2e,8,GAME_OVER,133,0,2,22,BasicMCTS,0.0,0.0,BasicMCTS
-1487150373,Descent2e,5,GAME_OVER,115,0,2,23,BasicMCTS,0.0,0.0,BasicMCTS
15667883,Descent2e,5,GAME_OVER,115,0,2,24,BasicMCTS,0.0,0.0,BasicMCTS
-910521112,Descent2e,5,GAME_OVER,125,1,2,25,BasicMCTS,0.0,0.0,BasicMCTS
1366521796,Descent2e,6,GAME_OVER,143,0,2,26,BasicMCTS,0.0,0.0,BasicMCTS
1676843926,Descent2e,6,GAME_OVER,108,0,2,27,BasicMCTS,0.0,0.0,BasicMCTS
1790501342,Descent2e,7,GAME_OVER,152,0,2,28,BasicMCTS,0.0,0.0,BasicMCTS
1745108418,Descent2e,20,GAME_OVER,227,0,2,29,BasicMCTS,0.0,0.0,BasicMCTS
421682885,Descent2e,6,GAME_OVER,113,0,2,30,BasicMCTS,0.0,0.0,BasicMCTS
1792086303,Descent2e,20,GAME_OVER,292,0,2,31,BasicMCTS,0.0,0.0,BasicMCTS
508197304,Descent2e,5,GAME_OVER,139,0,2,32,BasicMCTS,0.0,0.0,BasicMCTS
1146415445,Descent2e,6,GAME_OVER,136,0,2,33,BasicMCTS,0.0,0.0,BasicMCTS
927870383,Descent2e,6,GAME_OVER,142,0,2,34,BasicMCTS,0.0,0.0,BasicMCTS
-1442655681,Descent2e,20,GAME_OVER,271,0,2,35,BasicMCTS,0.0,0.0,BasicMCTS
-698543875,Descent2e,7,GAME_OVER,132,0,2,36,BasicMCTS,0.0,0.0,BasicMCTS
1529705236,Descent2e,20,GAME_OVER,232,0,2,37,BasicMCTS,0.0,0.0,BasicMCTS
759922803,Descent2e,20,GAME_OVER,247,0,2,38,BasicMCTS,0.0,0.0,BasicMCTS
-3989136,Descent2e,6,GAME_OVER,145,3,2,39,BasicMCTS,0.0,0.0,BasicMCTS
173121640,Descent2e,8,GAME_OVER,183,2,2,40,BasicMCTS,0.0,0.0,BasicMCTS
219963044,Descent2e,6,GAME_OVER,117,0,2,41,BasicMCTS,0.0,0.0,BasicMCTS
-1259785129,Descent2e,11,GAME_OVER,207,0,2,42,BasicMCTS,0.0,0.0,BasicMCTS
-128059727,Descent2e,4,GAME_OVER,106,0,2,43,BasicMCTS,0.0,0.0,BasicMCTS
1980965362,Descent2e,4,GAME_OVER,95,0,2,44,BasicMCTS,0.0,0.0,BasicMCTS
-1986406445,Descent2e,5,GAME_OVER,106,0,2,45,BasicMCTS,0.0,0.0,BasicMCTS
-600505640,Descent2e,11,GAME_OVER,242,0,2,46,BasicMCTS,0.0,0.0,BasicMCTS
-968963432,Descent2e,5,GAME_OVER,131,0,2,47,BasicMCTS,0.0,0.0,BasicMCTS
-1857617837,Descent2e,7,GAME_OVER,152,2,2,48,BasicMCTS,0.0,0.0,BasicMCTS
1485293000,Descent2e,6,GAME_OVER,116,0,2,49,BasicMCTS,0.0,0.0,BasicMCTS
1848927947,Descent2e,7,GAME_OVER,145,2,2,50,BasicMCTS,0.0,0.0,BasicMCTS
1807253165,Descent2e,20,GAME_OVER,284,0,2,51,BasicMCTS,0.0,0.0,BasicMCTS
-107578680,Descent2e,6,GAME_OVER,117,0,2,52,BasicMCTS,0.0,0.0,BasicMCTS
