GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerIdx
-428145664,Descent2e,20,GAME_OVER,234,0,2,2,-1
301571211,Descent2e,6,GAME_OVER,101,0,2,3,0
-1349591403,Descent2e,20,GAME_OVER,318,0,2,4,-1
187172682,Descent2e,7,GAME_OVER,153,0,2,5,0
204511687,Descent2e,4,GAME_OVER,102,0,2,6,0
-1704375242,Descent2e,5,GAME_OVER,94,0,2,7,0
-1536407514,Descent2e,20,GAME_OVER,304,0,2,8,-1
827361904,Descent2e,7,GAME_OVER,143,3,2,9,0
847152417,Descent2e,12,GAME_OVER,189,0,2,10,0
1142908333,Descent2e,5,GAME_OVER,98,0,2,11,0
-1064674997,Descent2e,4,GAME_OVER,111,0,2,12,0
223436599,Descent2e,7,GAME_OVER,103,0,2,13,0
-312833850,Descent2e,5,GAME_OVER,121,1,2,14,0
113837294,Descent2e,20,GAME_OVER,249,0,2,15,-1
-2024361174,Descent2e,20,GAME_OVER,256,0,2,16,-1
-1650823777,Descent2e,5,GAME_OVER,131,0,2,17,0
1883815596,Descent2e,20,GAME_OVER,283,0,2,18,-1
-650133693,Descent2e,5,GAME_OVER,129,0,2,19,0
669058127,Descent2e,5,GAME_OVER,91,0,2,20,0
344875733,Descent2e,20,GAME_OVER,279,0,2,21,-1
727886180,Descent2e,8,GAME_OVER,133,0,2,22,0
-1487150373,Descent2e,5,GAME_OVER,115,0,2,23,0
15667883,Descent2e,5,GAME_OVER,115,0,2,24,0
-910521112,Descent2e,5,GAME_OVER,125,1,2,25,0
1366521796,Descent2e,6,GAME_OVER,143,0,2,26,0
1676843926,Descent2e,6,GAME_OVER,108,0,2,27,0
1790501342,Descent2e,7,GAME_OVER,152,0,2,28,0
1745108418,Descent2e,20,GAME_OVER,227,0,2,29,-1
421682885,Descent2e,6,GAME_OVER,113,0,2,30,0
1792086303,Descent2e,20,GAME_OVER,292,0,2,31,-1
508197304,Descent2e,5,GAME_OVER,139,0,2,32,0
1146415445,Descent2e,6,GAME_OVER,136,0,2,33,0
927870383,Descent2e,6,GAME_OVER,142,0,2,34,0
-1442655681,Descent2e,20,GAME_OVER,271,0,2,35,-1
-698543875,Descent2e,7,GAME_OVER,132,0,2,36,0
1529705236,Descent2e,20,GAME_OVER,232,0,2,37,-1
759922803,Descent2e,20,GAME_OVER,247,0,2,38,-1
-3989136,Descent2e,6,GAME_OVER,145,3,2,39,0
173121640,Descent2e,8,GAME_OVER,183,2,2,40,0
219963044,Descent2e,6,GAME_OVER,117,0,2,41,0
-1259785129,Descent2e,11,GAME_OVER,207,0,2,42,0
-128059727,Descent2e,4,GAME_OVER,106,0,2,43,0
1980965362,Descent2e,4,GAME_OVER,95,0,2,44,0
-1986406445,Descent2e,5,GAME_OVER,106,0,2,45,0
-600505640,Descent2e,11,GAME_OVER,242,0,2,46,0
-968963432,Descent2e,5,GAME_OVER,131,0,2,47,0
-1857617837,Descent2e,7,GAME_OVER,152,2,2,48,0
1485293000,Descent2e,6,GAME_OVER,116,0,2,49,0
1848927947,Descent2e,7,GAME_OVER,145,2,2,50,0
