GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,WinnerType
-2052715812,Descent2e,5,GAME_OVER,141,0,2,85,overlord
-2102617675,Descent2e,20,GAME_OVER,270,0,2,86,timeout
676434171,Descent2e,5,GAME_OVER,98,2,2,87,overlord
-335156370,Descent2e,6,GAME_OVER,166,2,2,88,overlord
-1748601506,Descent2e,5,GAME_OVER,123,0,2,89,overlord
1420024253,Descent2e,20,GAME_OVER,242,0,2,90,timeout
641370995,Descent2e,6,GAME_OVER,151,2,2,91,overlord
1185835853,Descent2e,5,GAME_OVER,124,0,2,92,overlord
969539136,Descent2e,12,GAME_OVER,212,0,2,93,overlord
928345640,Descent2e,4,GAME_OVER,134,0,2,94,overlord
668626197,Descent2e,5,GAME_OVER,140,0,2,95,overlord
757119022,Descent2e,6,GAME_OVER,120,0,2,96,overlord
-1957924407,Descent2e,4,GAME_OVER,111,0,2,97,overlord
-1369753090,Descent2e,5,GAME_OVER,114,0,2,98,overlord
1700153117,Descent2e,5,GAME_OVER,136,0,2,99,overlord
-1391014857,Descent2e,20,GAME_OVER,238,0,2,100,timeout
1742585086,Descent2e,8,GAME_OVER,210,0,2,101,overlord
