GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),WinnerType(WinnerType),Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master),HealthPoints(Hero 1 HP),HealthPoints(Goblin Master HP),HealthPoints(Overlord Fatigue),HealthPoints(Goblin Minion 1 HP),HealthPoints(Goblin Minion 2 HP),HealthPoints(Hero 3 HP),HealthPoints(Hero 4 HP),HealthPoints(Goblin Minion 3 HP),HealthPoints(Goblin Minion 4 HP),HealthPoints(Hero 2 HP),HealthPoints(Barghest Minion 2 HP),HealthPoints(Barghest Minion 1 HP),HealthPoints(Barghest Minion 3 HP),HealthPoints(Barghest Master HP),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(PlayerName-1),Winner(PlayerIdx)
1366521796,Descent2e,6,GAME_OVER,143,0,2,26,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(6,2)","(9,9)",,,,"(7,10)",,,,"(3,7)","(2,6)","(3,14)","(10,3)",8,4,7,2,2,,,,,14,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
1676843926,Descent2e,6,GAME_OVER,108,0,2,27,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(9,4)","(5,16)",,,,"(4,9)",,,,"(4,17)","(6,6)","(11,7)","(7,3)",10,4,7,2,2,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
1790501342,Descent2e,7,GAME_OVER,152,0,2,28,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(9,3)","(9,14)",,,,"(4,3)",,,,"(6,15)","(6,6)","(4,13)","(10,5)",10,4,7,2,2,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
1745108418,Descent2e,20,GAME_OVER,227,0,2,29,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,timeout,"(6,2)","(5,14)",,,,"(7,14)",,,,"(5,5)","(6,5)","(8,7)","(10,5)",14,4,2,2,2,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,-1
421682885,Descent2e,6,GAME_OVER,113,0,2,30,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(6,3)","(3,8)",,,,"(5,4)",,,,"(5,5)",Dead,"(4,17)","(7,3)",12,4,7,2,Dead,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
1792086303,Descent2e,20,GAME_OVER,292,0,2,31,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,timeout,"(11,6)","(7,14)",,,,"(4,12)",,,,"(3,9)","(9,4)","(9,5)","(6,6)",14,4,6,2,2,,,,,12,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,-1
508197304,Descent2e,5,GAME_OVER,139,0,2,32,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(8,4)","(3,12)",,,,"(9,10)",,,,"(3,14)","(4,8)","(3,7)","(7,2)",12,4,7,1,1,,,,,12,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
1146415445,Descent2e,6,GAME_OVER,136,0,2,33,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(8,3)","(3,9)",,,,"(5,10)",,,,"(3,15)","(5,7)","(8,14)","(7,3)",8,4,7,2,2,,,,,12,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
927870383,Descent2e,6,GAME_OVER,142,0,2,34,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(8,3)","(9,14)",,,,"(7,15)",,,,"(3,14)","(3,13)","(3,8)","(11,4)",14,4,7,2,2,,,,,10,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
-1442655681,Descent2e,20,GAME_OVER,271,0,2,35,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,timeout,"(7,2)","(8,14)",,,,"(3,12)",,,,"(8,3)","(9,7)","(11,6)","(8,2)",10,4,0,2,2,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,-1
-698543875,Descent2e,7,GAME_OVER,132,0,2,36,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(9,7)","(6,5)",,,,"(9,16)",,,,"(2,7)","(3,5)","(3,17)","(8,3)",12,4,7,2,2,,,,,10,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
1529705236,Descent2e,20,GAME_OVER,232,0,2,37,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,timeout,"(11,5)","(6,15)",,,,"(4,14)",,,,"(4,6)","(6,3)","(8,6)","(7,2)",8,4,2,2,2,,,,,10,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,-1
759922803,Descent2e,20,GAME_OVER,247,0,2,38,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,timeout,"(10,6)","(7,15)",,,,"(6,15)",,,,"(9,4)","(9,2)","(6,2)","(8,3)",8,4,5,2,2,,,,,12,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,-1
-3989136,Descent2e,6,GAME_OVER,145,3,2,39,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(9,4)","(9,7)",,,,"(4,15)",,,,"(5,7)","(9,2)","(4,14)","(10,5)",8,4,7,2,2,,,,,9,,6,,4,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
173121640,Descent2e,8,GAME_OVER,183,2,2,40,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(8,9)","(5,6)",,,,"(4,15)",,,,"(7,2)","(10,7)","(4,14)","(8,2)",14,2,7,2,2,,,,,12,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
219963044,Descent2e,6,GAME_OVER,117,0,2,41,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(11,5)","(3,12)",,,,"(7,10)",,,,"(3,17)","(6,5)","(3,7)","(10,3)",14,4,7,2,2,,,,,12,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
-1259785129,Descent2e,11,GAME_OVER,207,0,2,42,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(8,4)","(4,10)",,,,"(5,13)",,,,"(7,2)","(8,6)","(6,14)","(6,4)",12,2,7,2,2,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
-128059727,Descent2e,4,GAME_OVER,106,0,2,43,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(7,2)","(3,12)",,,,"(3,9)",,,,"(3,5)","(9,4)","(5,14)","(8,2)",10,4,7,2,2,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
1980965362,Descent2e,4,GAME_OVER,95,0,2,44,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(4,7)","(8,10)",,,,"(4,8)",,,,"(5,14)","(10,3)","(5,7)","(9,3)",8,4,7,1,2,,,,,12,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
-1986406445,Descent2e,5,GAME_OVER,106,0,2,45,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(9,2)","(5,10)",,,,"(7,5)",,,,"(4,7)","(3,7)","(3,17)","(11,5)",8,4,7,2,2,,,,,12,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
-600505640,Descent2e,11,GAME_OVER,242,0,2,46,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(11,5)","(3,10)",,,,"(3,12)",,,,"(7,5)","(10,3)","(3,15)","(10,4)",8,1,7,2,2,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
-968963432,Descent2e,5,GAME_OVER,131,0,2,47,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(6,5)","(8,10)",,,,"(9,3)",,,,"(6,17)","(5,8)","(3,9)","(7,3)",8,4,7,2,2,,,,,12,,6,,1,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
-1857617837,Descent2e,7,GAME_OVER,152,2,2,48,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(9,4)","(3,6)",,,,"(2,4)",,,,"(10,6)","(10,3)","(5,16)","(7,2)",14,4,7,2,2,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
1485293000,Descent2e,6,GAME_OVER,116,0,2,49,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(11,5)","(8,13)",,,,"(8,15)",,,,"(5,5)","(4,17)","(2,7)","(9,4)",10,4,7,2,2,,,,,10,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
1848927947,Descent2e,7,GAME_OVER,145,2,2,50,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(7,3)","(5,4)",,,,"(3,9)",,,,"(5,17)","(7,2)","(9,4)","(9,2)",12,4,7,2,2,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
1807253165,Descent2e,20,GAME_OVER,284,0,2,51,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,timeout,"(10,3)","(5,6)",,,,"(5,13)",,,,"(4,10)","(4,4)","(4,7)","(9,4)",4,4,1,2,2,,,,,14,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,-1
-107578680,Descent2e,6,GAME_OVER,117,0,2,52,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(9,6)","(5,13)",,,,"(5,7)",,,,"(2,7)","(10,5)","(4,14)","(10,6)",8,4,7,2,2,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
2076401020,Descent2e,5,GAME_OVER,100,0,2,53,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(10,4)","(6,15)",,,,"(10,14)",,,,"(3,5)","(4,7)","(4,14)","(9,3)",10,4,7,2,2,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
-1570492476,Descent2e,5,GAME_OVER,131,2,2,54,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(5,2)","(9,15)",,,,"(3,12)",,,,"(6,16)","(7,4)","(5,7)","(9,5)",12,4,7,2,2,,,,,12,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
-1426917644,Descent2e,15,GAME_OVER,253,2,2,55,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(9,2)","(6,14)",,,,"(5,11)",,,,"(4,7)","(4,14)","(8,4)","(7,3)",12,4,7,2,2,,,,,10,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
-12320489,Descent2e,20,GAME_OVER,233,0,2,56,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,timeout,"(9,4)","(4,10)",,,,"(7,12)",,,,"(6,4)","(6,6)","(7,5)","(10,4)",8,4,3,2,2,,,,,12,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,-1
-954669208,Descent2e,20,GAME_OVER,231,0,2,57,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,timeout,"(9,5)","(5,7)",,,,"(7,14)",,,,"(4,5)","(7,7)","(6,5)","(6,3)",8,4,3,2,2,,,,,12,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,-1
-317495364,Descent2e,5,GAME_OVER,113,0,2,58,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(8,7)","(10,14)",,,,"(8,16)",,,,"(2,5)","(5,7)","(4,17)","(10,6)",14,4,7,2,2,,,,,12,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
1377843403,Descent2e,20,GAME_OVER,216,0,2,59,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,timeout,"(8,2)","(3,12)",,,,"(4,11)",,,,"(5,9)","(7,5)","(8,7)","(10,3)",12,4,4,2,2,,,,,8,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,-1
350997456,Descent2e,5,GAME_OVER,129,0,2,60,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(10,7)","(2,2)",,,,"(4,7)",,,,"(5,7)","(9,3)","(6,15)","(6,4)",8,4,7,2,2,,,,,12,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
-725504896,Descent2e,5,GAME_OVER,114,0,2,61,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(8,3)","(9,15)",,,,"(8,16)",,,,"(3,16)","(4,6)","(5,6)","(11,5)",14,4,7,2,2,,,,,10,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
1154772717,Descent2e,5,GAME_OVER,134,0,2,62,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(10,4)","(8,11)",,,,"(3,8)",,,,"(3,16)","(9,4)","(3,6)","(9,3)",12,1,7,2,2,,,,,10,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
-639360266,Descent2e,5,GAME_OVER,111,0,2,63,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(8,3)","(3,10)",,,,"(9,13)",,,,"(5,3)","(8,6)","(4,14)","(7,3)",8,4,7,2,2,,,,,10,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
2071934164,Descent2e,4,GAME_OVER,105,0,2,64,BasicMCTS,0.0,0.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,overlord,"(6,3)","(5,10)",,,,"(7,11)",,,,"(6,14)","(10,5)","(3,5)","(9,5)",8,4,7,2,2,,,,,14,,6,,8,0.0,BasicMCTS,0.0,0.0,0.0,BasicMCTS,0
