GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Hero 1 HP,Goblin Master HP,Overlord Fatigue,Goblin Minion 1 HP,Goblin Minion 2 HP,Hero 3 HP,Hero 4 HP,Goblin Minion 3 HP,Goblin Minion 4 HP,Hero 2 HP,Barghest Minion 2 HP,Barghest Minion 1 HP,Barghest Minion 3 HP,Barghest Master HP
2076401020,Descent2e,5,GAME_OVER,100,0,2,53,10,4,7,2,2,,,,,8,,6,,8
-1570492476,Descent2e,5,GAME_OVER,131,2,2,54,12,4,7,2,2,,,,,12,,6,,8
-1426917644,Descent2e,15,GAME_OVER,253,2,2,55,12,4,7,2,2,,,,,10,,6,,8
-12320489,Descent2e,20,GAME_OVER,233,0,2,56,8,4,3,2,2,,,,,12,,6,,8
-954669208,Descent2e,20,GAME_OVER,231,0,2,57,8,4,3,2,2,,,,,12,,6,,8
-317495364,Descent2e,5,GAME_OVER,113,0,2,58,14,4,7,2,2,,,,,12,,6,,8
1377843403,Descent2e,20,GAME_OVER,216,0,2,59,12,4,4,2,2,,,,,8,,6,,8
350997456,Descent2e,5,GAME_OVER,129,0,2,60,8,4,7,2,2,,,,,12,,6,,8
-725504896,Descent2e,5,GAME_OVER,114,0,2,61,14,4,7,2,2,,,,,10,,6,,8
1154772717,Descent2e,5,GAME_OVER,134,0,2,62,12,1,7,2,2,,,,,10,,6,,8
-639360266,Descent2e,5,GAME_OVER,111,0,2,63,8,4,7,2,2,,,,,10,,6,,8
2071934164,Descent2e,4,GAME_OVER,105,0,2,64,8,4,7,2,2,,,,,14,,6,,8
580861535,Descent2e,5,GAME_OVER,170,2,2,65,14,1,7,2,2,,,,,8,,6,,8
2139714048,Descent2e,8,GAME_OVER,169,0,2,66,12,4,7,2,2,,,,,8,,6,,8
1459032824,Descent2e,20,GAME_OVER,318,0,2,67,12,4,5,2,2,,,,,8,,6,,8
-2038524901,Descent2e,8,GAME_OVER,167,0,2,68,9,1,7,2,2,,,,,12,,6,,8
-1746497854,Descent2e,5,GAME_OVER,96,0,2,69,12,1,7,2,2,,,,,8,,6,,8
708812394,Descent2e,5,GAME_OVER,106,1,2,70,14,4,7,2,2,,,,,10,,6,,8
1472007076,Descent2e,5,GAME_OVER,96,0,2,71,10,4,7,2,2,,,,,8,,6,,8
-1435654991,Descent2e,6,GAME_OVER,155,0,2,72,12,4,7,2,2,,,,,8,,6,,8
-685733318,Descent2e,8,GAME_OVER,157,0,2,73,10,2,7,2,2,,,,,8,,6,,8
-1268860653,Descent2e,9,GAME_OVER,169,0,2,74,12,1,7,2,2,,,,,10,,4,,8
537932018,Descent2e,8,GAME_OVER,149,0,2,75,14,4,7,2,2,,,,,10,,6,,8
-591743488,Descent2e,20,GAME_OVER,214,0,2,76,8,4,2,2,2,,,,,12,,6,,8
747448861,Descent2e,19,GAME_OVER,228,0,2,77,8,4,7,2,2,,,,,12,,6,,8
384367416,Descent2e,12,GAME_OVER,224,2,2,78,8,4,7,1,2,,,,,10,,6,,8
-1709789930,Descent2e,8,GAME_OVER,177,0,2,79,14,4,7,2,2,,,,,10,,6,,8
-787403435,Descent2e,6,GAME_OVER,141,2,2,80,10,4,7,2,2,,,,,8,,6,,8
-1471073859,Descent2e,20,GAME_OVER,352,0,2,81,10,4,0,2,1,,,,,8,,6,,8
-1780393583,Descent2e,5,GAME_OVER,134,0,2,82,8,4,7,2,2,,,,,8,,6,,8
1609126606,Descent2e,20,GAME_OVER,282,0,2,83,12,4,6,2,2,,,,,8,,6,,8
1217665948,Descent2e,4,GAME_OVER,108,2,2,84,8,1,7,2,2,,,,,8,,6,,8
-2052715812,Descent2e,5,GAME_OVER,141,0,2,85,8,4,7,2,2,,,,,12,,6,,8
-2102617675,Descent2e,20,GAME_OVER,270,0,2,86,12,4,2,2,2,,,,,10,,6,,8
676434171,Descent2e,5,GAME_OVER,98,2,2,87,12,4,7,2,2,,,,,12,,6,,8
-335156370,Descent2e,6,GAME_OVER,166,2,2,88,8,2,7,2,2,,,,,10,,6,,8
-1748601506,Descent2e,5,GAME_OVER,123,0,2,89,8,4,7,2,2,,,,,8,,6,,8
1420024253,Descent2e,20,GAME_OVER,242,0,2,90,10,4,3,2,2,,,,,14,,6,,8
641370995,Descent2e,6,GAME_OVER,151,2,2,91,14,4,7,2,1,,,,,10,,6,,8
1185835853,Descent2e,5,GAME_OVER,124,0,2,92,12,4,7,2,2,,,,,10,,6,,8
969539136,Descent2e,12,GAME_OVER,212,0,2,93,8,4,7,2,2,,,,,12,,5,,8
928345640,Descent2e,4,GAME_OVER,134,0,2,94,10,4,7,2,2,,,,,8,,6,,8
668626197,Descent2e,5,GAME_OVER,140,0,2,95,10,4,7,1,2,,,,,12,,6,,8
757119022,Descent2e,6,GAME_OVER,120,0,2,96,10,4,7,2,2,,,,,14,,6,,8
-1957924407,Descent2e,4,GAME_OVER,111,0,2,97,8,4,7,2,2,,,,,8,,6,,8
-1369753090,Descent2e,5,GAME_OVER,114,0,2,98,8,4,7,2,2,,,,,12,,6,,8
1700153117,Descent2e,5,GAME_OVER,136,0,2,99,8,4,7,1,2,,,,,12,,6,,8
-1391014857,Descent2e,20,GAME_OVER,238,0,2,100,8,4,5,2,2,,,,,12,,6,,8
1742585086,Descent2e,8,GAME_OVER,210,0,2,101,12,4,7,2,2,,,,,8,,6,,8
